MiyagBi95,1939,1,YAM,,55,99,7,22,2,1,0,5,3,,6,21,,0,2,0
MizuhSh95,1939,1,KYO,,96,358,61,86,13,3,2,40,15,,78,26,,3,4,2
MizutNo96,1939,1,LIO,,96,359,48,97,13,7,2,39,21,,69,20,,0,6,2
MochiJu95,1939,1,EAG,,46,111,8,25,5,2,0,5,0,,8,26,,0,1,0
MonzeMa95,1939,1,OSA,,91,324,39,84,13,9,5,53,6,,40,32,,2,3,6
MorigJi95,1939,1,TSN,,56,113,14,16,0,1,0,6,4,,44,32,,3,3,0
MoriHi95,1939,1,HNK,,33,77,5,13,0,0,0,6,0,,9,16,,0,1,0
MoriKu95,1939,1,OSA,,51,49,6,7,0,0,0,4,3,,5,8,,0,1,1
MoritMi95,1939,1,NGK,,27,36,1,4,0,0,0,1,0,,1,4,,0,0,0
MukasSh95,1939,1,NGK,,52,104,6,12,3,1,0,3,2,,13,14,,0,1,0
MuramCh95,1939,1,TSN,,34,81,4,13,1,1,0,3,1,,12,5,,1,3,2
MuramYu95,1939,1,NAG,,19,35,0,5,0,0,0,0,0,,0,11,,0,1,0
MurasIc95,1939,1,NAG,,96,337,50,70,10,5,1,20,28,,53,43,,1,4,3
MuroiYu95,1939,1,LIO,,47,162,14,36,6,1,1,12,0,,4,12,,4,3,2
NagaiMa95,1939,1,NGK,,5,0,0,0,0,0,0,0,0,,0,0,,0,0,0
NagaoSa95,1939,1,NGK,,2,0,0,0,0,0,0,0,0,,0,0,,0,0,0
NagasFu95,1939,1,KYO,,47,84,7,21,2,2,0,11,2,,10,12,,0,1,2
NagasSu95,1939,1,NGK,,70,163,9,33,5,1,0,9,2,,15,14,,2,4,3
NaitoKo95,1939,1,NGK,,9,10,0,2,0,0,0,0,0,,1,2,,0,0,0
NakagMi96,1939,1,EAG,,78,291,23,82,7,2,0,26,10,,18,22,,0,2,1
NakajHa96,1939,1,KYO,,96,396,57,110,22,8,6,58,15,,28,29,,0,0,5
NakamKi95,1939,1,YAM,,83,270,28,69,9,2,0,31,6,,29,16,,0,2,4
NakamMa95,1939,1,YAM,,46,127,5,23,3,1,0,4,0,,5,18,,1,3,0
NakamSa95,1939,1,NAG,,89,283,21,55,13,1,4,27,5,,33,53,,1,3,1
NakamTe95,1939,1,NGK,,27,41,5,9,2,0,0,0,2,,6,5,,0,1,0
NakanTa96,1939,1,LIO,,31,87,2,14,1,0,0,4,1,,9,15,,1,2,0
NakaoHi95,1939,1,KYO,,43,82,9,13,4,0,0,6,1,,18,29,,0,0,0
NakatKi95,1939,1,OSA,,11,9,1,1,0,0,0,1,0,,3,3,,0,0,0
NakatMi95,1939,1,YAM,,86,245,25,52,3,2,0,19,7,,50,24,,0,10,1
NakayMa95,1939,1,NGK,,63,128,11,27,4,0,0,5,1,,26,12,,0,8,1
NakayTa95,1939,1,KYO,,3,4,0,0,0,0,0,0,0,,0,0,,0,0,0
NaraTo95,1939,1,OSA,,8,16,0,1,0,0,0,1,0,,0,1,,0,0,0
NishiMa96,1939,1,HNK,,87,304,47,70,5,2,0,16,23,,70,23,,0,8,0
NishiMi94,1939,1,NAG,,32,75,2,14,1,0,0,1,1,,3,5,,0,2,0
NishiTo95,1939,1,LIO,,87,283,21,48,2,0,0,17,11,,52,18,,0,9,1
NishiYu95,1939,1,OSA,,30,64,4,10,2,0,0,5,1,,4,9,,0,0,0
NogucJi95,1939,1,TSN,,92,346,31,87,11,3,0,26,14,,33,9,,0,3,2
NomurTa96,1939,1,NGK,,92,332,36,80,13,6,1,34,22,,44,35,,1,0,4
NoninWa95,1939,1,NGK,,51,178,27,44,9,1,1,17,8,,33,13,,2,8,1
NumatHa95,1939,1,EAG,,2,0,0,0,0,0,0,0,0,,0,0,,0,0,0
OhashMa95,1939,1,OSA,,1,0,0,0,0,0,0,0,0,,0,0,,0,0,0
OkadaGe95,1939,1,NGK,,2,2,0,1,0,0,0,0,0,,1,1,,0,0,0
OkadaMu95,1939,1,OSA,,60,145,23,34,5,1,1,13,4,,32,15,,2,4,1
OkamoKa97,1939,1,LIO,,3,8,1,0,0,0,0,0,0,,1,3,,0,0,0
OkamoTo97,1939,1,LIO,,75,247,19,50,4,2,0,28,6,,35,20,,1,2,4
OkamuTo95,1939,1,YAM,,88,304,44,74,12,3,0,38,20,,60,54,,0,8,2
OkanoHa95,1939,1,NGK,,42,79,7,13,3,0,0,2,5,,8,10,,1,0,0
OmiyaKi95,1939,1,NGK,,25,36,4,5,1,0,0,0,0,,8,9,,0,0,0
OmodaKa95,1939,1,TSN,,96,366,39,101,16,4,4,56,10,,44,39,,1,4,4
OribeYo95,1939,1,TSN,,80,240,15,28,4,0,0,13,4,,36,40,,0,1,3
OsawaNo95,1939,1,NAG,,93,345,33,107,12,3,2,46,13,,51,24,,0,0,2
OtaKe95,1939,1,EAG,,94,295,22,60,7,0,0,21,10,,55,27,,1,5,2
OtsukTs95,1939,1,TSN,,96,348,28,71,13,2,0,25,3,,31,35,,2,7,1
RiverAd95,1939,1,KYO,,76,257,35,69,10,4,6,42,4,,19,23,,3,0,5
RyuSe95,1939,1,YAM,,28,51,0,7,0,0,0,5,0,,2,16,,0,7,1
SantaMa95,1939,1,KYO,,43,79,5,15,2,0,0,9,0,,5,6,,0,0,0
SasakTs95,1939,1,NGK,,87,317,29,65,5,3,1,15,25,,26,22,,2,14,1
SatoTa99,1939,1,TSN,,89,303,10,55,11,0,1,27,1,,34,56,,3,7,3
SeikeCh95,1939,1,EAG,,37,71,3,8,2,0,0,0,1,,5,10,,1,1,0
SeiKi95,1939,1,NGK,,96,282,27,50,4,2,1,17,13,,49,49,,1,8,4
ShibaTa98,1939,1,NGK,,2,1,0,0,0,0,0,0,0,,0,1,,0,0,0
ShigeMi95,1939,1,HNK,,38,71,2,7,0,0,0,4,0,,13,13,,0,0,0
ShigeSa95,1939,1,NAG,,43,93,10,16,2,0,0,4,2,,9,19,,4,3,0
ShimoYu95,1939,1,HNK,,21,60,2,9,2,0,1,6,0,,4,10,,0,2,0
ShintUs95,1939,1,HNK,,6,6,0,0,0,0,0,1,0,,0,0,,0,0,0
ShiotIn95,1939,1,TSN,,1,1,0,0,0,0,0,0,0,,0,0,,0,0,0
ShiraKa97,1939,1,KYO,,95,359,73,94,17,4,3,34,28,,82,41,,3,3,0
StarfVi95,1939,1,KYO,,68,182,12,42,5,1,1,22,2,,5,15,,0,2,1
SugitMa95,1939,1,EAG,,81,258,21,47,3,0,1,12,5,,17,8,,3,2,0
SuzukHi95,1939,2,LIO,,24,61,5,15,1,1,0,9,0,,5,11,,1,2,5
SuzukHi95,1939,1,NAG,,47,110,8,23,6,0,0,4,8,,7,18,,0,1,2
SuzukTo95,1939,1,KYO,,12,7,0,2,0,0,0,0,0,,0,2,,0,0,0
SuzukTs95,1939,1,NGK,,11,14,0,2,0,0,0,1,0,,1,4,,0,0,0
TakadKa95,1939,1,LIO,,1,1,0,1,0,0,0,0,0,,0,0,,0,0,0
TakagSh95,1939,1,NAG,,10,4,3,2,0,0,0,0,1,,1,0,,0,0,0
TakahSa96,1939,1,HNK,,45,94,7,26,1,0,0,7,0,,11,8,,0,4,0
TakakTo95,1939,1,NGK,,14,15,1,1,0,0,0,1,0,,4,2,,0,0,0
TakasKi95,1939,1,EAG,,49,152,15,29,3,2,1,11,4,,34,13,,1,0,1
TamakTo96,1939,1,LIO,,85,318,35,70,6,8,1,19,13,,52,50,,0,6,1
TanakMi95,1939,1,NAG,,3,5,0,0,0,0,0,0,0,,0,3,,0,0,0
TanakNa95,1939,1,HNK,,45,131,15,35,5,0,0,17,8,,10,10,,0,7,0
TanakYo96,1939,1,OSA,,15,16,0,5,0,0,0,2,0,,0,2,,0,0,0
TerauKa95,1939,1,EAG,,93,345,44,71,17,9,4,24,3,,57,35,,1,4,1
TomimNo95,1939,1,OSA,,85,240,42,48,6,6,2,20,14,,61,46,,1,1,2
TsuboMi95,1939,1,LIO,,96,395,50,89,10,2,1,27,11,,32,21,,4,9,0
TsujiNo95,1939,1,EAG,,33,78,6,16,4,0,0,3,0,,8,12,,1,4,0
TsuneSu95,1939,1,NGK,,7,9,0,1,0,0,0,1,0,,0,5,,1,0,0
TsuriTs95,1939,1,OSA,,3,1,1,0,0,0,0,0,0,,0,0,,0,0,0
TsuruKa96,1939,1,YAM,,92,330,54,94,13,9,10,55,21,,64,24,,2,0,1
TsutsYo96,1939,1,EAG,,32,66,2,9,2,0,0,3,3,,7,14,,0,2,0
UedaFu95,1939,1,HNK,,91,316,40,85,12,4,0,44,16,,40,29,,3,11,1
UedaYo96,1939,1,YAM,,20,54,5,13,1,1,0,1,2,,6,8,,0,1,0
UrushSu95,1939,1,EAG,,61,200,18,34,6,2,2,12,5,,20,20,,0,1,1
UtsumIs95,1939,1,KYO,,2,2,0,0,0,0,0,0,0,,0,0,,0,0,0
WakabTa95,1939,1,OSA,,53,143,14,38,3,3,1,16,1,,6,7,,0,8,1
YamadDe95,1939,1,HNK,,94,370,61,95,10,3,1,17,30,,40,19,,0,11,2
YamadKi96,1939,1,EAG,,75,214,21,32,6,2,1,18,2,,55,34,,0,5,1
YamamAi95,1939,1,TSN,,5,3,1,0,0,0,0,0,0,,1,1,,0,0,0
YamamEi95,1939,1,KYO,,9,3,2,0,0,0,0,0,1,,1,0,,0,0,0
YamamHi93,1939,1,LIO,,75,217,23,41,4,1,0,11,6,,30,42,,0,6,1
YamamJi95,1939,1,NGK,,63,139,6,26,2,0,0,7,1,,13,16,,1,2,0
YamanMi95,1939,1,OSA,,12,8,2,0,0,0,0,0,1,,0,2,,1,0,0
YamaoTo95,1939,1,YAM,,49,81,7,11,0,1,0,1,3,,8,15,,0,2,0
YamasKo96,1939,1,HNK,,91,328,44,90,13,2,1,45,17,,54,39,,2,0,1
YamasMi95,1939,1,HNK,,43,144,16,38,10,1,2,26,4,,27,18,,1,1,1
YanagTo95,1939,1,LIO,,6,4,0,0,0,0,0,0,1,,0,1,,0,0,0
YokozSh95,1939,1,TSN,,96,342,33,62,5,2,0,24,8,,55,21,,2,11,1
YoshiKa97,1939,1,NAG,,3,6,0,1,0,0,0,1,0,,1,3,,0,0,0
YoshiMa91,1939,1,KYO,,89,294,38,71,14,1,1,25,7,,41,34,,2,7,1
YoshiYo97,1939,1,YAM,,62,200,20,47,12,0,2,21,4,,7,16,,1,2,3
AmakaSe95,1940,1,YAM,,20,28,2,8,0,0,0,0,0,,1,6,,0,0,0
AmanoTa95,1940,1,NAG,,1,0,0,0,0,0,0,0,0,,0,0,,0,0,0
AraiHa95,1940,1,NGK,,19,17,1,2,0,0,0,1,0,,1,2,,0,0,1
ArakaMa95,1940,1,NGK,,19,37,3,10,2,0,0,5,0,,2,4,,2,0,0
AsanoKa95,1940,1,HNK,,71,173,11,40,6,1,1,20,3,,34,17,,0,6,2
AsaokSa95,1940,1,TSU,,65,160,14,33,4,1,0,8,2,,22,29,,0,3,0
ChibaSh95,1940,1,KYO,,90,320,51,90,9,4,3,38,16,,65,39,,1,6,2
DohiSh95,1940,1,HNK,,27,66,5,8,1,0,1,8,0,,9,12,,0,1,0
DoigaTa95,1940,1,HAN,,22,41,0,8,1,0,0,7,0,,6,2,,0,0,0
FujimTa95,1940,1,HAN,,32,53,1,11,2,0,0,5,2,,4,13,,0,0,0
FujitIt95,1940,1,YAM,,93,307,19,52,3,0,0,7,5,,27,30,,3,17,0
FukaoFu95,1940,1,YAM,,25,34,1,3,0,0,0,1,0,,4,5,,0,0,0
FukunKa95,1940,1,NGK,,4,5,0,1,0,0,0,0,0,,0,2,,0,0,0
FukusIs95,1940,1,LIO,,52,90,3,12,1,0,0,3,0,,4,13,,1,1,0
FuruyKu95,1940,1,NGK,,77,218,17,39,7,1,0,20,2,,29,16,,1,1,2
GomiYo95,1940,1,NGK,,97,297,39,57,6,0,1,12,25,,70,48,,0,7,2
GoSh95,1940,1,KYO,,91,269,40,53,7,6,2,25,13,,39,40,,3,3,2
HagaNa95,1940,1,NAG,,102,347,18,67,8,1,0,28,4,,32,33,,0,8,1
HaiyaMo95,1940,1,LIO,,21,70,2,7,1,0,0,3,0,,9,14,,0,0,0
HanadKa95,1940,1,YAM,,2,5,0,1,1,0,0,0,0,,0,1,,0,0,0
HasegSh80,1940,1,KUR,,61,138,12,32,4,0,1,14,0,,18,15,,1,0,0
