playerID,yearid,votedBy,ballots,needed,votes,inducted,category,Batter,Pitcher
mackco01,1937,Centennial,,,,Y,Manager,11,0
mcgrajo01,1937,Veterans,,,,Y,Manager,17,0
wrighge01,1937,Centennial,,,,Y,Pioneer/Executive,12,2
alexape01,1938,BBWAA,262,197,212,Y,Player,21,21
sislege01,1938,BBWAA,262,197,179,N,Player,16,7
keelewi01,1938,BBWAA,262,197,177,N,Player,20,0
collied01,1938,BBWAA,262,197,175,N,Player,25,0
wadderu01,1938,BBWAA,262,197,148,N,Player,14,14
chancfr01,1938,BBWAA,262,197,133,N,Player,17,0
delahed01,1938,BBWAA,262,197,132,N,Player,16,0
walshed01,1938,BBWAA,262,197,110,N,Player,14,14
eversjo01,1938,BBWAA,262,197,91,N,Player,19,0
colliji01,1938,BBWAA,262,197,79,N,Player,16,0
maranra01,1938,BBWAA,262,197,73,N,Player,23,0
bresnro01,1938,BBWAA,262,197,67,N,Player,18,3
clarkfr01,1938,BBWAA,262,197,63,N,Player,21,0
brownmo01,1938,BBWAA,262,197,54,N,Player,15,15
huggimi01,1938,BBWAA,262,197,48,N,Manager,13,0
hornsro01,1938,BBWAA,262,197,46,N,Player,24,0
schalra01,1938,BBWAA,262,197,45,N,Player,18,0
youngro01,1938,BBWAA,262,197,40,N,Player,10,0
planked01,1938,BBWAA,262,197,38,N,Player,17,17
pennohe01,1938,BBWAA,262,197,37,N,Player,23,23
mcginjo01,1938,BBWAA,262,197,36,N,Player,11,11
bendech01,1938,BBWAA,262,197,33,N,Player,16,16
bakerfr01,1938,BBWAA,262,197,32,N,Player,13,0
klingjo01,1938,BBWAA,262,197,26,N,Player,14,0
duffyhu01,1938,BBWAA,262,197,24,N,Player,17,0
jennihu01,1938,BBWAA,262,197,23,N,Player,20,0
jossad01,1938,BBWAA,262,197,18,N,Player,9,9
robinwi01,1938,BBWAA,262,197,17,N,Manager,18,0
tinkejo01,1938,BBWAA,262,197,16,N,Player,15,0
heilmha01,1938,BBWAA,262,197,14,N,Player,17,0
ruckena01,1938,BBWAA,262,197,12,N,Player,10,10
adamsba01,1938,BBWAA,262,197,11,N,Player,19,19
crawfsa01,1938,BBWAA,262,197,11,N,Player,19,0
crigelo01,1938,BBWAA,262,197,11,N,Player,16,0
griffcl01,1938,BBWAA,262,197,10,N,Pioneer/Executive,22,21
marquru01,1938,BBWAA,262,197,10,N,Player,19,19
vanceda01,1938,BBWAA,262,197,10,N,Player,18,18
roushed01,1938,BBWAA,262,197,9,N,Player,19,0
gowdyha01,1938,BBWAA,262,197,8,N,Player,19,0
rusieam01,1938,BBWAA,262,197,8,N,Player,10,10
tennefr02,1938,BBWAA,262,197,8,N,Player,17,1
altroni01,1938,BBWAA,262,197,7,N,Player,21,18
archeji01,1938,BBWAA,262,197,7,N,Player,14,0
combsea01,1938,BBWAA,262,197,7,N,Player,12,0
terrybi01,1938,BBWAA,262,197,7,N,Player,14,0
wallabo01,1938,BBWAA,262,197,7,N,Player,25,4
wheatza01,1938,BBWAA,262,197,7,N,Player,19,0
careyma01,1938,BBWAA,262,197,6,N,Player,21,0
woodjo02,1938,BBWAA,262,197,6,N,Player,14,11
donlimi01,1938,BBWAA,262,197,5,N,Player,14,2
lewisdu01,1938,BBWAA,262,197,5,N,Player,11,1
nehfar01,1938,BBWAA,262,197,5,N,Player,18,18
carribi02,1938,BBWAA,262,197,4,N,Player,10,0
dinnebi01,1938,BBWAA,262,197,4,N,Player,13,13
doylela01,1938,BBWAA,262,197,4,N,Player,15,0
hoopeha01,1938,BBWAA,262,197,4,N,Player,17,1
mcinnst01,1938,BBWAA,262,197,4,N,Player,19,0
barryja01,1938,BBWAA,262,197,3,N,Player,12,0
burnsge01,1938,BBWAA,262,197,3,N,Player,15,0
fletcar01,1938,BBWAA,262,197,3,N,Player,14,0
grohhe01,1938,BBWAA,262,197,3,N,Player,17,0
kerrdi01,1938,BBWAA,262,197,3,N,Player,4,4
nichoki01,1938,BBWAA,262,197,3,N,Player,16,16
traynpi01,1938,BBWAA,262,197,3,N,Player,17,0
bancrda01,1938,BBWAA,262,197,2,N,Player,17,0
bradlbi01,1938,BBWAA,262,197,2,N,Player,14,1
burkeje01,1938,BBWAA,262,197,2,N,Player,16,3
chesbja01,1938,BBWAA,262,197,2,N,Player,12,12
coombja01,1938,BBWAA,262,197,2,N,Player,14,14
cravaga01,1938,BBWAA,262,197,2,N,Player,12,0
elberki01,1938,BBWAA,262,197,2,N,Player,15,0
fosteed02,1938,BBWAA,262,197,2,N,Player,14,0
judgejo01,1938,BBWAA,262,197,2,N,Player,21,0
mageesh01,1938,BBWAA,262,197,2,N,Player,17,0
peckiro01,1938,BBWAA,262,197,2,N,Player,18,0
rixeyep01,1938,BBWAA,262,197,2,N,Player,21,21
schreos01,1938,BBWAA,262,197,2,N,Player,15,0
scottev01,1938,BBWAA,262,197,2,N,Player,15,0
stengca01,1938,BBWAA,262,197,2,N,Manager,15,0
beaumgi01,1938,BBWAA,262,197,1,N,Player,12,0
bergema01,1938,BBWAA,262,197,1,N,Player,4,0
chapmra01,1938,BBWAA,262,197,1,N,Player,9,0
coaklan01,1938,BBWAA,262,197,1,N,Player,10,10
