ArakiSh95,1950,1,TAI,NL,0,0,1,0,0,0,0,9,6,5,1,2,0,0,15,0,0,0,0,17,0,5,1
AramaAt95,1952,1,MAI,AL,0,0,2,0,0,0,0,6,1,1,0,2,2,0,4.5,0,0,0,0,9,0,1,0
AraokAk95,1951,1,STR,AL,0,0,3,0,0,0,0,14,9,8,1,3,3,0,15.43,0,0,1,0,25,0,8,0
ArasuTa95,1956,1,HNK,AL,0,0,3,0,0,0,0,24,3,2,0,2,3,0.12,2.25,0,0,1,0,29,3,2,0
ArikuMa95,1990,1,NHF,AL,0,1,9,1,0,0,0,43,19,11,4,5,6,0.358,6.91,1,1,1,0,63,5,13,0
ArimeKa95,2008,1,RAK,AL,0,3,18,1,0,0,0,69,31,20,7,15,26,0.333,7.83,1,0,1,0,111,4,20,0
ArimuIe95,1952,1,TAI,NL,0,2,3,0,0,0,0,36,19,9,1,6,2,0,6.75,0,0,0,1,61,0,14,0
ArisaKe95,1984,1,YAK,NL,0,0,23,0,0,0,0,55,21,12,4,15,7,0,5.89,0,0,1,0,90,0,12,0
AritaFu95,1977,1,KIN,AL,0,0,1,0,0,0,0,9,4,1,0,1,2,0,3,0,0,0,0,12,0,1,0
AritaTe95,1971,1,HIR,NL,1,0,6,0,0,0,0,37,19,11,4,7,2,0,8.03,0,0,4,0,66,0,13,0
AriyoHi95,1958,1,NIS,AL,0,1,2,0,0,0,0,3,3,4,0,2,0,0,36,0,0,0,0,8,0,4,0
AsadaHa95,1951,1,KOK,NL,1,2,8,2,1,0,0,60,31,22,2,9,3,0,9.9,0,1,0,0,98,0,24,0
AsaiHi95,2007,1,RAK,AL,0,0,3,0,0,0,0,17,8,4,1,1,0,0.333,6.35,0,1,0,1,25,2,4,0
AsaiMa95,1951,1,MAI,AL,0,0,1,0,0,0,0,6,3,2,0,2,2,0,9,0,0,0,0,10,0,2,0
AsakuKe95,2002,1,CHU,NL,0,1,9,1,0,0,0,52,36,27,5,7,9,0.424,14.02,0,1,2,0,95,3,32,0
AsamaKe95,2003,1,LOT,AL,0,0,2,1,0,0,0,3,2,3,1,3,0,0.5,27,0,0,0,0,7,0,3,0
AsanoKa95,1938,2,HNK,0,1,1,2,2,0,0,0,18,10,7,0,4,1,0.357,10.5,0,0,0,0,33,0,7,0
AsanoKe96,1974,1,YAK,NL,0,1,14,0,0,0,0,54,26,19,4,4,5,0,9.5,0,0,1,0,81,0,19,0
AsaokSa95,1939,1,TSN,0,5,12,23,15,4,1,0,363,107,57,1,73,38,0,4.24,0,2,1,0,542,0,71,0
AsaoTa80,2008,1,CHU,NL,4,1,19,5,0,0,0,153,51,20,5,20,40,0.254,3.53,1,2,0,0,224,0,21,0
AshikYu95,1994,1,FDH,AL,0,0,1,0,0,0,0,4,5,5,0,0,1,0.556,33.75,0,0,1,0,10,0,5,0
AtchiSc01,2008,1,HAN,NL,7,6,42,12,0,0,0,314,104,43,9,26,85,0.263,3.7,1,1,2,3,436,0,50,0
AtsuzKa95,1998,1,NHF,AL,0,2,3,2,0,0,0,18,9,6,0,5,5,0.346,9,0,0,0,0,32,0,9,0
austiri01,1974,1,HNK,AL,1,1,8,0,0,0,0,81,26,7,1,9,26,0,2.33,0,0,1,0,111,0,9,0
AwanoHi95,1988,1,KIN,AL,0,2,6,2,0,0,0,31,22,14,2,6,9,0.458,12.19,1,1,0,0,58,3,14,0
AzumaKa95,2004,2,SEI,AL,0,0,3,0,0,0,0,9,6,7,3,6,2,0.4,21,0,1,1,0,22,0,7,0
AzumaMi95,1957,1,NAN,AL,1,1,10,0,0,0,0,76,28,12,3,10,16,0,4.26,0,1,0,0,113,0,12,0
AzuseKo95,1991,1,TAI,NL,0,0,4,0,0,0,0,10,7,4,2,3,1,0.438,10.8,0,0,0,0,19,2,4,0
BabaSh95,1957,1,YOM,NL,0,1,3,0,0,0,0,21,5,1,0,0,3,0,1.29,0,0,0,0,26,0,1,0
BacquGe95,1964,1,HAN,NL,0,3,8,0,0,0,0,69,23,12,1,10,16,0,4.7,0,1,0,0,100,2,12,0
baileco01,2003,1,YOM,NL,1,0,30,0,0,0,0,107,41,19,4,17,32,0.295,4.79,0,4,0,2,162,5,20,0
balejo01,2006,1,HIR,NL,11,10,25,24,1,0,0,481,165,75,16,62,173,0.268,4.21,2,4,8,0,702,0,86,0
balleja01,1994,1,ORX,AL,0,0,17,0,0,0,0,91,32,14,4,8,26,0,4.15,0,2,4,0,132,0,14,0
BandoEi95,1965,1,CHU,NL,1,4,18,0,0,0,0,65,29,16,3,11,12,0,6.65,0,2,0,0,108,0,23,0
BandoSa95,1976,1,KIN,AL,0,0,5,0,0,0,0,18,16,13,1,2,2,0,19.5,0,0,0,0,37,0,13,0
bankswi01,1999,1,ORX,AL,3,3,13,2,0,0,1,89,27,13,3,21,26,0.248,3.94,1,3,0,0,135,6,16,0
bannifl01,1990,1,YAK,NL,3,2,9,3,0,0,0,147,52,22,7,22,31,0,4.04,0,2,3,0,222,0,25,0
BassAd80,2007,1,RAK,AL,0,2,5,4,0,0,0,46,30,13,3,3,13,0.417,7.63,0,0,4,0,80,0,14,0
batchri01,1999,1,YAK,NL,0,0,7,0,0,0,0,17,7,5,0,1,2,0.318,7.94,0,0,1,0,25,2,5,0
beenean01,1985,1,YAK,NL,2,2,8,5,0,0,0,67,26,18,2,17,15,0,7.25,0,1,0,1,109,0,19,0
beirnke01,2004,1,KIN,AL,4,13,22,20,0,0,0,328,117,57,10,47,70,0.277,4.69,0,6,5,1,485,1,63,0
beltrri01,2002,1,HIR,NL,0,1,25,0,0,0,0,59,33,20,5,4,20,0.379,9.15,0,2,3,2,97,5,20,0
bergmse01,2001,1,KIN,AL,4,6,16,16,0,0,0,262,102,50,13,26,57,0.298,5.15,0,3,6,2,389,0,58,1
BesshTa95,1955,1,YOM,NL,9,4,35,15,3,1,0,388,117,44,11,37,72,0,3.06,0,1,7,0,536,10,52,0
betanra01,2000,1,YBS,NL,1,2,11,4,0,0,0,86,30,13,5,11,16,0.265,4.08,0,1,1,2,127,2,16,1
BettoKa95,1948,1,OSA,0,0,0,1,0,0,0,0,9,6,2,0,1,3,0,6,0,0,0,0,16,0,2,0
beverja01,2003,1,YAK,NL,0,4,8,8,0,0,0,97,58,40,6,15,29,0.389,11.13,0,0,1,2,169,0,41,0
birkbmi01,1995,1,YBS,NL,0,2,4,4,0,0,0,32,19,14,1,5,3,0.404,11.81,0,1,0,0,54,0,14,0
birtsti01,1991,1,YAK,NL,3,5,18,11,1,1,0,255,98,53,7,41,72,0,5.61,0,4,2,0,381,0,56,0
BizenYo95,1960,1,HIR,NL,1,3,23,5,1,0,0,156,69,30,1,5,24,0,5.19,0,0,2,0,229,0,35,0
BokuKe80,1939,1,OSA,0,0,1,2,0,0,0,0,25,12,1,0,3,2,0,1.08,0,0,0,0,39,0,1,0
boltoro01,1996,1,FDH,AL,2,2,11,6,0,0,0,93,36,22,3,23,18,0.3,6.39,0,3,1,0,148,2,22,0
BonnaJi95,1936,2,DAI,0,0,1,4,0,0,0,0,29,12,11,1,13,2,0,10.24,0,1,1,0,52,0,14,0
BottlRo95,1960,1,KIN,AL,2,11,24,14,3,0,0,345,128,57,12,51,57,0.29,4.46,2,6,5,1,503,0,67,0
BowerCe95,2004,1,YBS,NL,7,5,18,15,2,0,0,338,104,48,14,66,96,0.251,3.83,1,4,4,0,492,0,57,0
bowersh01,2002,1,YBS,NL,3,13,26,26,0,0,0,381,129,62,9,48,95,0.265,4.39,3,4,4,0,548,0,65,0
BritoMa95,1996,1,YOM,NL,3,2,39,0,0,0,19,146,50,18,5,18,43,0.27,3.33,1,0,1,0,207,31,18,0
brockch01,2003,1,HIR,NL,8,8,24,23,1,0,0,432,165,63,23,37,88,0.288,3.94,1,3,9,11,632,0,75,0
brosste01,1995,1,YAK,NL,2,3,11,7,0,0,0,127,35,27,9,23,28,0.232,5.74,0,3,1,1,179,2,28,0
BroweJi01,2008,1,HIR,NL,0,2,21,0,0,0,0,61,26,9,0,8,13,0.329,3.98,1,4,0,0,90,0,9,0
BrownJa80,2005,1,HAN,NL,4,1,11,7,0,0,0,99,44,19,6,11,24,0.328,5.18,1,0,5,0,155,2,19,0
bunchme01,2000,1,CHU,NL,10,8,25,24,1,0,0,480,158,60,14,63,151,0.264,3.38,6,2,5,1,684,0,64,0
BurnsAd80,2008,1,YOM,NL,5,3,15,15,0,0,0,225,67,29,7,18,47,0.244,3.48,0,2,9,5,312,0,33,0
burnspe01,1965,1,HAN,NL,5,8,29,19,4,1,0,354,92,44,12,41,47,0,3.36,0,2,2,0,478,0,46,0
burrote01,2000,1,ORX,AL,5,4,14,9,1,0,0,205,74,41,7,40,45,0.29,5.4,0,1,3,6,309,1,48,0
carlybu01,2001,1,HAN,NL,0,2,3,3,0,0,0,43,17,12,1,5,13,0.298,7.53,0,1,1,0,65,0,12,0
CarraDa80,2006,1,FSH,AL,0,3,3,3,0,0,0,31,22,17,3,10,9,0.44,14.81,0,1,1,0,63,0,17,0
carragi01,1998,1,SEI,AL,1,2,33,5,0,0,1,220,68,40,8,40,50,0.25,4.91,2,4,4,1,325,11,44,0
carrahe01,2004,1,KIN,AL,8,8,53,0,0,0,5,228,74,47,12,37,70,0.255,5.57,3,4,5,1,341,24,52,0
CarteLa02,2007,1,ORX,AL,3,5,34,11,0,0,6,259,102,43,14,22,50,0.295,4.48,0,1,3,1,380,0,47,0
carych01,1992,1,YOM,NL,3,5,19,3,0,0,1,157,54,21,6,29,35,0,3.61,0,2,0,3,235,0,29,0
castibo01,1987,1,CHU,NL,1,1,2,1,0,0,0,31,12,9,2,9,9,0,7.84,0,0,1,0,52,0,10,0
ChangCh95,2002,1,SEI,AL,7,7,22,20,1,1,0,374,133,69,14,53,112,0.274,4.98,0,6,5,1,551,0,72,0
checoro01,1995,1,HIR,NL,4,1,9,6,3,1,0,152,52,27,10,24,36,0.268,4.8,0,2,0,0,226,0,31,0
ChenWe80,2008,1,CHU,NL,0,0,10,1,0,0,1,58,29,13,3,6,20,0.345,6.05,0,2,0,0,92,2,17,0
ChianCh80,2006,1,YOM,NL,2,4,17,5,0,0,0,125,45,24,6,13,30,0.274,5.18,0,1,0,0,182,0,27,0
ChibaHi95,2002,1,YBS,NL,0,0,9,0,0,0,0,24,6,3,2,4,5,0.214,3.38,0,0,0,0,32,4,3,1
ChibaSh95,1946,1,KYO,0,0,0,1,0,0,0,0,12,8,4,0,0,2,0,9,0,0,0,0,21,0,4,0
ChibaTs95,1972,1,HIR,NL,0,2,7,0,0,0,0,49,17,8,2,6,5,0,4.41,0,1,0,0,73,0,11,0
ChihaYo95,1966,1,CHU,NL,0,2,9,2,0,0,0,61,22,14,2,13,8,0,6.2,0,1,1,0,92,0,15,0
ChikaEi80,2006,1,YOM,NL,0,0,8,0,0,0,0,28,7,3,0,2,10,0.206,2.89,0,1,1,0,37,2,3,0
ChikaTo95,1988,1,NAN,AL,0,0,1,0,0,0,0,3,1,1,0,1,0,0,9,0,0,0,0,4,0,1,0
ChinYo95,1989,1,CHU,NL,0,0,5,0,0,0,0,22,11,7,2,4,5,0,8.59,0,0,0,0,36,0,7,0
ChoSu95,2002,1,YOM,NL,1,2,10,1,0,0,0,42,20,6,2,5,9,0.357,3.86,1,0,0,0,64,2,9,0
ChoTa95,1950,1,KOK,NL,0,5,18,0,0,0,0,143,46,22,8,24,8,0,4.15,0,5,1,1,211,0,33,0
ChungMi95,2001,1,YOM,NL,2,0,4,3,1,1,0,56,21,10,4,3,16,0.28,4.82,0,0,1,0,80,0,10,0
ChungMi96,2001,1,YOM,NL,0,1,17,0,0,0,0,59,24,14,4,7,14,0.308,6.41,1,0,1,1,89,4,14,0
