aldresc01,1990,1,DET,AL,1,3,23,0,0,0,0,61,23,13,3,10,21,0.284,5.75,0,1,1,0,95,5,14,1,2,1
aldrija01,1987,1,ML4,AL,1,2,7,0,0,0,1,36,17,11,1,7,5,0.327,8.25,3,0,0,1,61,2,13,2,0,3
aldrivi01,1917,1,CHN,NL,4,7,22,17,3,0,2,358,133,64,7,45,33,0.28,4.83,0,4,3,0,522,4,68,0,0,0
alexabo01,1955,1,BAL,AL,0,1,5,0,0,0,0,21,10,7,0,5,1,0.35,9.0,2,1,1,0,35,3,7,0,0,0
alexado01,1971,1,LAN,NL,6,18,33,33,5,1,0,669,245,110,28,76,95,0.28,4.44,3,4,5,1,977,0,118,9,11,15
alexage01,1990,1,TEX,AL,1,0,3,0,0,0,0,5,5,5,1,1,1,0.5,27.0,0,0,0,0,12,1,5,0,1,0
alexama02,1996,1,BAL,AL,0,0,1,0,0,0,0,2,1,5,1,4,0,0.5,67.5,0,0,0,0,7,1,5,0,1,0
alexape01,1911,1,PHI,NL,0,3,9,3,0,0,0,65,40,22,5,6,6,0.39,9.14,0,0,0,0,109,2,24,0,0,0
alexasc01,2015,1,KCA,AL,5,4,58,0,0,0,4,207,62,19,3,28,59,0.246,2.48,0,3,0,0,283,9,23,1,2,13
alfonan01,1997,1,FLO,NL,5,2,61,0,0,0,8,149,65,30,3,27,24,0.314,5.44,6,1,1,0,236,22,31,0,1,3
allarbr01,1979,1,TEX,AL,3,2,7,7,1,0,0,144,48,20,5,8,20,0.265,3.75,0,0,0,0,191,0,22,2,0,9
allenbo03,1937,1,PHI,NL,0,1,3,1,0,0,0,36,18,9,2,8,8,0.32,6.75,0,0,0,0,64,1,12,0,0,0
allenbo04,1961,1,CLE,AL,0,5,47,0,0,0,5,163,49,18,4,25,50,0.24,2.98,7,4,1,1,232,23,22,0,0,0
allenco01,2012,1,CLE,AL,3,7,69,0,0,0,30,202,57,22,9,21,92,0.221,2.94,0,9,2,0,282,55,24,1,0,1
allenfr01,1912,1,BRO,NL,3,11,29,14,2,0,0,336,124,49,3,47,56,0.29,3.94,0,4,6,0,490,6,61,0,0,0
allenjo01,1914,1,BLF,FL,0,0,1,0,0,0,0,6,2,4,0,2,2,9.99,18.0,0,0,0,0,0,1,4,0,0,0
allenjo02,1932,1,NYA,AL,4,7,18,13,2,1,0,252,88,38,7,24,33,0.26,4.07,0,3,2,0,368,3,48,0,0,0
allenll01,1969,1,CAL,AL,0,2,3,2,0,0,0,16,8,7,2,6,2,0.348,11.81,0,0,0,0,31,1,7,1,1,0
allenmy01,1883,1,NY1,NL,0,2,2,2,2,0,0,54,17,5,0,1,2,0.0,2.5,0,0,2,0,74,0,7,0,0,0
allenne01,1979,1,NYN,NL,0,1,3,0,0,0,0,9,8,5,1,0,0,0.5,15.0,0,0,0,0,17,1,5,0,1,0
allisda01,1991,1,OAK,AL,1,1,11,0,0,0,0,33,16,9,0,5,4,0.381,7.36,1,0,0,0,49,4,9,1,1,3
allisdo01,1878,1,PRO,NL,0,0,1,0,0,0,0,15,11,1,0,1,0,0.0,1.8,0,0,0,0,26,1,5,0,0,0
allisma01,1911,1,SLA,AL,1,3,11,4,3,0,0,154,52,13,0,13,12,0.28,2.28,0,2,3,0,197,5,24,0,0,0
almanar01,1999,1,FLO,NL,0,0,6,0,0,0,0,12,5,1,1,3,2,0.313,2.25,0,1,0,0,19,1,1,0,0,1
almanca01,1997,1,TOR,AL,0,0,6,0,0,0,0,15,10,8,2,7,3,0.435,14.4,0,4,1,0,33,2,8,0,2,0
almoned01,2003,1,NYN,NL,0,0,12,0,0,0,0,34,21,14,3,5,7,0.412,11.12,1,1,0,0,57,3,15,1,0,3
almonhe01,1999,1,FLO,NL,1,1,28,0,0,0,0,87,34,22,4,17,26,0.291,6.83,2,5,2,0,137,5,22,1,0,1
almonmi01,2015,1,KCA,AL,0,0,2,0,0,0,0,6,5,3,0,2,0,0.556,13.5,0,0,0,0,12,0,3,0,1,1
alomalu01,1950,1,CHA,AL,2,0,24,0,0,0,2,115,41,20,7,23,23,0.28,4.7,0,2,0,1,173,8,20,0,0,0
alouma01,1965,1,SFN,NL,0,0,1,0,0,0,0,6,3,0,0,1,3,0.33,0.0,0,0,0,0,10,1,0,0,0,0
alstoga01,1996,1,COL,NL,1,0,6,0,0,0,0,18,9,6,1,3,5,0.375,9.0,0,1,1,0,30,4,6,0,2,1
altampo01,1982,1,PHI,NL,0,0,5,0,0,0,0,34,8,6,2,1,7,0.195,4.76,0,1,0,0,43,2,6,0,1,0
altavda01,2016,1,SEA,AL,1,1,41,0,0,0,0,140,43,22,9,20,52,0.242,4.24,1,9,1,0,203,13,27,0,4,3
altener01,1920,1,DET,AL,0,1,14,1,0,0,0,69,40,23,2,9,4,0.39,9.0,0,0,1,0,112,7,27,0,0,0
altroni01,1898,1,LS3,NL,0,0,1,0,0,0,0,6,4,0,0,0,0,0.5,0.0,0,0,0,0,8,1,1,0,0,0
alvarab01,2004,1,BOS,AL,0,0,1,0,0,0,0,9,5,4,2,2,2,0.385,12.0,0,0,0,0,15,0,4,0,0,1
alvarda01,2014,1,NYN,NL,2,0,20,0,0,0,0,49,19,5,1,14,17,0.292,2.76,0,2,1,1,82,3,8,0,2,2
alvarhe01,2011,1,TOR,AL,0,1,3,3,0,0,0,44,14,7,2,11,6,0.25,4.3,1,0,0,1,67,0,7,0,0,2
alvarjo01,1981,1,ATL,NL,3,3,30,0,0,0,2,151,44,16,4,24,45,0.237,2.86,2,2,1,1,217,12,18,5,1,5
alvarjo02,2013,1,DET,AL,0,3,64,0,0,0,1,146,50,21,7,12,45,0.263,3.88,5,1,0,0,203,12,23,1,0,5
alvarjo03,2017,1,TBA,AL,0,3,35,0,0,0,0,89,24,12,1,9,29,0.216,3.64,1,2,0,0,123,6,12,2,1,1
alvarju01,1999,1,ANA,AL,0,0,9,0,0,0,0,35,8,4,2,8,6,0.216,3.09,1,0,1,0,46,3,4,0,0,3
alvarrj01,2014,1,SDN,NL,0,0,21,0,0,0,0,60,27,22,7,13,23,0.318,9.9,1,5,0,0,100,11,23,0,2,0
alvarta01,1995,1,MON,NL,2,1,11,5,0,0,0,63,19,7,0,12,9,0.235,3.0,1,0,1,0,96,3,10,2,0,1
alvarvi01,2002,1,LAN,NL,0,1,5,0,0,0,0,17,9,8,1,6,3,0.391,12.71,0,0,1,0,31,3,8,1,0,2
alvarwi01,1989,1,TEX,AL,1,4,21,2,0,0,0,72,31,15,7,7,16,0.316,5.63,0,0,0,0,109,3,15,2,2,1
amarial01,2015,1,SDN,NL,0,0,1,0,0,0,0,1,0,0,0,0,0,0.0,0.0,0,0,0,0,1,1,0,0,0,0
ambrihe01,2010,1,CLE,AL,0,0,1,0,0,0,0,6,2,1,0,2,1,0.286,4.5,0,0,0,0,9,0,2,0,0,1
amesre01,1903,1,NY1,NL,0,2,3,2,1,0,1,48,26,11,0,3,4,0.4,6.19,0,1,0,0,71,1,12,0,0,0
amesst01,2013,1,MIA,NL,0,1,4,0,0,0,0,12,6,2,0,2,4,0.375,4.5,1,0,0,0,19,3,2,1,0,1
