,Year,Stint,TeamID,LgId,W,L,G,GS,CG,SHO,SV,IPO,H,ER,HR,BB,SO,BAOpp,ERA,IBB,WP,HBP,BK,BF,GF,R
NagamHi95,1984,1,HNK,AL,1,3,14,1,0,0,0,139,52,28,8,22,17,,5.44,,0,3,1,212,,30
NakadYo95,1984,1,HAN,NL,4,0,30,0,0,0,0,143,59,25,7,17,23,,4.72,,2,0,0,209,,28
NakahNo95,1984,1,NHF,AL,0,0,2,0,0,0,0,15,7,4,2,2,1,,7.2,,0,0,0,25,,5
NakajYo95,1984,1,YOM,NL,0,1,21,0,0,0,0,73,23,11,1,13,20,,4.07,,1,2,0,102,,11
NakamSh96,1984,1,YAK,NL,2,5,38,0,0,0,6,193,71,39,10,33,41,,5.46,,0,1,0,291,,43
NakanKi95,1984,1,HAN,NL,1,6,33,9,0,0,0,202,79,40,10,31,50,0.3,5.35,4,3,0,0,304,4,44
NaritYu95,1984,1,SEI,AL,0,0,2,0,0,0,0,3,4,5,0,2,0,,45,,0,0,0,9,,5
NemotTa95,1984,1,SEI,AL,0,0,3,0,0,0,0,13,5,2,1,1,1,,4.15,,0,0,0,16,,4
NiimiSa95,1984,1,HIR,NL,1,0,16,0,0,0,0,64,19,5,1,8,9,,2.11,,0,1,0,88,,6
NimurTo95,1984,1,CHU,NL,1,0,1,0,0,0,0,5,0,0,0,2,0,0,0,1,0,0,0,7,0,0
NishiKa96,1984,1,SEI,AL,0,1,4,0,0,0,0,31,12,9,3,4,2,,7.84,,0,0,0,44,,9
NishiTa98,1984,1,YOM,NL,15,11,31,27,17,2,0,674,218,78,24,55,91,,3.12,,0,2,0,923,,91
NishiTe95,1984,1,LOT,AL,6,3,37,0,0,0,8,131,40,17,6,13,20,,3.5,,0,3,0,177,,18
NishiTo97,1984,1,LOT,AL,13,11,29,26,13,2,0,641,202,88,31,61,113,,3.71,,1,13,2,886,,98
NogucHi95,1984,1,SEI,AL,0,0,1,0,0,0,0,1,2,2,1,0,0,,54,,0,0,0,3,,2
NomurOs95,1984,1,HAN,NL,2,5,43,0,0,0,0,239,103,40,10,14,38,,4.52,,0,2,1,357,,48
ObanaTa95,1984,1,YAK,NL,14,8,45,19,8,1,7,525,172,67,27,47,106,,3.45,,6,3,0,723,,70
OdaSh95,1984,1,SEI,AL,0,0,3,0,0,0,0,23,7,6,1,3,4,,7.04,,0,1,0,33,,6
OhataTo95,1984,1,TAI,NL,0,0,3,0,0,0,0,9,2,0,0,2,2,,0,,0,0,0,13,,0
OkabeNo95,1984,1,NHF,AL,1,4,22,0,0,0,0,190,68,43,9,30,28,,6.11,,0,0,0,288,,45
OkawaAk95,1984,1,YAK,NL,5,3,65,0,0,0,4,319,99,46,11,42,61,,3.89,,2,1,0,436,,51
OlsenRi95,1984,1,HAN,NL,2,9,29,2,0,0,0,296,92,51,20,53,57,,4.65,,6,4,0,431,,58
OnoKa97,1984,1,KIN,AL,2,3,24,7,1,0,1,204,78,40,11,24,34,0.293,5.29,1,3,1,0,304,8,44
OnoKa98,1984,1,SEI,AL,1,0,8,0,0,0,0,46,16,8,3,8,8,0.271,4.7,0,0,0,0,67,3,10
OnoYu97,1984,1,HIR,NL,10,5,24,12,9,2,2,441,133,48,14,49,95,0.242,2.94,2,4,4,0,615,2,52
OtsubYu95,1984,1,NAN,AL,0,1,3,1,0,0,0,38,17,7,2,4,4,,4.97,,1,0,0,54,,9
OtsuKa95,1984,1,NAN,AL,0,0,1,0,0,0,0,6,1,1,0,1,1,,4.5,,0,0,0,8,,1
RajsiDa95,1984,1,HIR,NL,0,1,23,0,0,0,1,68,25,8,3,16,15,,3.18,,3,0,0,108,,14
SadaoSh95,1984,1,YOM,NL,5,10,32,3,0,0,1,342,120,58,17,37,68,,4.58,,2,3,0,488,,60
SaitoAk95,1984,1,TAI,NL,11,6,43,8,1,1,10,282,115,51,10,31,53,,4.88,,1,2,0,419,,54
SaitoMa99,1984,1,YOM,NL,4,0,17,1,0,0,0,132,36,15,3,13,43,0.229,3.07,1,1,4,0,177,5,15
SakaiKe95,1984,1,YAK,NL,1,2,42,0,0,0,0,192,71,36,10,10,26,,5.06,,2,3,0,269,,37
SakamAk95,1984,1,NHF,AL,7,6,38,20,7,1,0,519,163,64,19,64,77,,3.33,,0,2,0,721,,73
SaotoYu95,1984,1,TAI,NL,0,2,17,0,0,0,0,71,26,9,3,5,14,,3.42,,1,2,0,101,,10
SatoMa98,1984,1,TAI,NL,0,1,13,0,0,0,0,35,18,5,0,5,8,,3.86,,1,0,0,54,,7
SatoYo95,1984,1,HNK,AL,17,6,33,11,17,4,1,631,177,82,19,106,136,0.236,3.51,2,2,6,0,886,3,85
SekinHi95,1984,1,TAI,NL,3,11,39,15,2,0,0,390,130,62,16,43,63,,4.29,,2,1,0,554,,67
ShibaYa95,1984,1,NHF,AL,3,1,15,5,2,1,0,145,46,29,6,17,40,,5.4,,0,2,0,208,,30
ShiraYo95,1984,1,HIR,NL,0,0,2,0,0,0,0,16,7,5,1,4,5,0.368,8.44,0,0,0,0,24,1,5
shirlst01,1984,1,LOT,AL,1,3,13,9,1,0,0,199,66,36,9,38,45,,4.88,,1,0,0,291,,36
SotaYa95,1984,1,CHU,NL,0,0,5,0,0,0,0,16,1,1,1,1,6,,1.69,,0,0,0,18,,1
SugimTa95,1984,1,SEI,AL,7,8,22,15,5,3,0,374,136,53,12,33,57,,3.83,,0,0,0,527,,54
SumiMi95,1984,1,YOM,NL,3,4,49,0,0,0,14,176,44,21,7,31,51,,3.22,,3,4,1,251,,22
SumitKa95,1984,1,KIN,AL,0,0,19,0,0,0,2,113,54,29,9,9,7,,6.93,,0,2,0,174,,30
SuzukKe96,1984,1,KIN,AL,16,10,28,25,17,0,0,639,217,89,30,45,102,,3.76,,0,5,0,889,,108
SuzukKo96,1984,1,YOM,NL,0,0,6,0,0,0,0,30,7,5,1,6,3,,4.5,,0,0,0,41,,6
SuzukMa96,1984,1,YAK,NL,1,0,9,0,0,0,0,54,14,9,3,12,10,,4.5,,0,0,0,77,,10
SuzukTa90,1984,1,SEI,AL,0,2,9,0,0,0,0,56,22,14,6,9,12,,6.75,,0,3,0,87,,15
SuzukTa99,1984,1,CHU,NL,16,8,28,20,9,2,0,504,192,76,24,33,60,,4.07,,1,0,0,706,,89
SuzukYa95,1984,1,KIN,AL,5,4,46,0,0,0,18,235,73,27,3,27,26,,3.1,,4,4,0,339,,34
TachiKe95,1984,1,KIN,AL,2,1,14,0,0,0,0,115,42,24,4,10,14,,5.63,,0,6,0,171,,29
TakagNo95,1984,1,HIR,NL,2,4,14,10,2,0,0,171,55,29,8,32,53,0.261,4.58,0,0,4,0,254,0,29
TakahMa97,1984,1,NHF,AL,2,5,22,6,1,0,0,187,75,32,9,19,12,,4.62,,1,5,0,279,,36
TakahMi95,1984,1,CHU,NL,0,0,1,0,0,0,0,0,1,2,0,2,0,,NULL,,0,0,0,3,,2
TakahNa95,1984,1,SEI,AL,2,3,10,5,1,0,0,131,52,34,13,7,21,0.294,7.01,,0,1,1,186,,35
TakahSa97,1984,1,NHF,AL,0,1,13,0,0,0,0,90,47,20,6,7,11,,6,,0,1,1,138,,21
TakahTo95,1984,1,SEI,AL,0,0,1,0,0,0,0,6,5,4,0,2,1,,18,,0,0,0,12,,4
TakanHi96,1984,1,YAK,NL,10,12,38,20,3,1,2,486,151,87,19,82,128,,4.83,,4,5,0,702,,95
TakegAk95,1984,1,NAN,AL,2,4,49,0,0,0,0,200,82,46,10,44,41,,6.21,,2,2,0,324,,54
TakemYu95,1984,1,YAK,NL,0,1,5,0,0,0,0,16,4,4,1,4,4,,6.75,,0,0,0,23,,4
TakesKo95,1984,1,TAI,NL,0,0,7,0,0,0,0,27,9,7,1,5,3,,7,,0,0,0,38,,7
TamurIs95,1984,1,LOT,AL,1,0,16,0,0,0,0,123,34,22,8,17,24,,4.83,,0,8,0,175,,25
TanakMa96,1984,1,NHF,AL,1,0,6,1,0,0,0,70,22,14,7,4,9,,5.4,,1,3,0,97,,14
TanakTo95,1984,1,NHF,AL,8,13,27,22,7,1,0,522,183,93,22,78,91,,4.81,,2,3,0,770,,100
TanakYu96,1984,1,NHF,AL,2,9,17,2,0,0,0,190,72,47,5,40,25,,6.68,,1,4,0,300,,51
TaniHi95,1984,1,KIN,AL,8,9,24,19,4,0,0,439,121,58,20,76,85,,3.57,,3,6,0,637,,72
TanimTo95,1984,1,HNK,AL,1,2,8,0,0,0,0,74,31,14,2,10,4,,5.11,,0,0,0,112,,15
TaniRy95,1984,1,HNK,AL,0,1,28,0,0,0,0,192,54,22,9,22,38,,3.09,,3,1,0,258,,23
TanizKo95,1984,1,KIN,AL,0,0,1,0,0,0,0,4,2,2,1,0,0,,13.5,,0,0,0,6,,2
TorihKo95,1984,1,YAK,NL,0,1,17,0,0,0,0,72,29,12,3,8,8,,4.5,,1,1,0,103,,12
TsuchMa96,1984,1,LOT,AL,0,3,29,0,0,0,1,188,67,37,8,32,32,,5.31,,1,3,0,286,,42
TsudaTs95,1984,1,HIR,NL,3,4,14,6,2,0,1,163,59,28,8,27,30,,4.64,,1,1,0,243,,33
TsunoHi95,1984,1,NHF,AL,4,8,18,9,2,1,0,244,76,60,14,53,47,0.256,6.64,2,4,5,0,367,1,65
UmezaYo95,1984,1,LOT,AL,1,2,33,0,0,0,3,224,71,34,6,28,45,,4.1,,2,2,0,316,,39
UshijKa95,1984,1,CHU,NL,3,6,50,0,0,0,29,227,60,23,6,25,67,,2.74,,1,1,0,307,,25
WatanHi91,1984,1,SEI,AL,1,1,15,5,2,0,0,158,41,23,7,29,38,0.227,3.93,1,0,2,0,219,5,24
YamadHi99,1984,1,HNK,AL,14,4,24,19,14,2,0,503,156,61,19,39,60,,3.27,,0,7,0,682,,67
YamagTe95,1984,1,KIN,AL,0,0,7,0,0,0,0,34,13,8,2,2,4,,6.35,,0,0,0,46,,8
YamakSh95,1984,1,NAN,AL,0,1,9,0,0,0,1,74,22,14,5,14,12,,5.11,,0,3,0,107,,15
YamamKa92,1984,1,HAN,NL,10,8,52,0,0,0,24,251,65,33,10,13,65,,3.55,,1,1,0,327,,34
YamamKa94,1984,1,HIR,NL,5,2,46,0,0,0,0,175,55,19,5,16,32,,2.93,,0,4,0,248,,23
YamamTa93,1984,1,KIN,AL,0,2,6,0,0,0,0,43,20,10,4,7,6,,6.28,,0,1,0,68,,11
YamanKa95,1984,1,HIR,NL,16,8,32,27,13,3,0,666,224,84,25,50,102,,3.41,,4,4,0,920,,90
YamaoYu95,1984,1,HNK,AL,11,8,48,3,1,0,15,395,119,60,18,50,121,0.245,4.1,1,6,5,0,561,40,68
YamauKa96,1984,1,NAN,AL,12,12,32,28,12,1,0,666,230,114,29,96,124,,4.62,,5,7,0,982,,133
YamauSh95,1984,1,HAN,NL,7,9,25,5,0,0,0,325,134,57,17,29,34,,4.74,,2,6,0,478,,62
YamauTa95,1984,1,NAN,AL,16,11,31,25,13,2,0,614,248,111,32,34,89,,4.88,,1,6,0,880,,125
YanagYu96,1984,1,KIN,AL,10,9,27,22,9,1,0,532,149,79,31,58,84,,4.01,,0,6,0,733,,86
YanoMi95,1984,1,NAN,AL,0,5,29,5,0,0,3,206,79,39,10,24,25,0.305,5.11,1,1,2,0,300,10,45
YasukSh95,1984,1,CHU,NL,0,1,26,4,0,0,0,97,42,20,5,11,13,0.331,5.57,0,0,1,0,147,2,20
YoshiMa99,1984,1,KIN,AL,0,4,16,0,0,0,0,98,30,17,5,10,20,,4.68,,0,2,0,136,,20
AiEi95,1985,1,YAK,NL,3,5,44,4,0,0,2,315,111,50,11,38,79,,4.29,,3,3,0,457,,61
AoiKa95,1985,1,NAN,AL,0,0,7,0,0,0,0,24,8,7,2,8,4,,7.88,,0,1,1,36,,7
AokiHi95,1985,1,TAI,NL,0,0,6,0,0,0,0,33,12,12,4,9,3,,9.82,,0,1,0,52,,12
ArakiDa95,1985,1,YAK,NL,6,7,19,12,4,1,0,326,104,52,18,35,47,0.251,4.31,2,2,5,0,466,1,57
ArisaKe95,1985,1,YAK,NL,0,0,23,0,0,0,0,55,21,12,4,15,7,,5.89,,0,1,0,90,,12
beenean01,1985,1,YAK,NL,2,2,8,5,0,0,0,67,26,18,2,17,15,,7.25,,1,0,1,109,,19
comstke01,1985,1,YOM,NL,8,8,21,21,5,1,0,374,120,58,21,76,87,,4.19,,1,0,0,552,,69
DonouTe95,1985,1,CHU,NL,0,2,9,1,0,0,0,41,25,19,2,14,8,,12.51,,0,1,0,81,,22
EgawaSu95,1985,1,YOM,NL,11,7,30,26,3,1,0,501,188,98,34,56,117,,5.28,,1,3,0,735,,102
EndoKa95,1985,1,TAI,NL,14,7,28,28,16,2,0,643,188,75,25,51,154,,3.15,,2,1,0,869,,82
EnokiKe95,1985,1,HNK,AL,0,0,3,0,0,0,0,14,9,9,3,6,2,,17.36,,0,0,0,29,,9
FujimSh97,1985,1,NAN,AL,8,17,37,22,9,3,0,589,215,118,23,83,81,0.281,5.41,1,6,6,0,877,3,129
FujitMa95,1985,1,NAN,AL,1,4,18,4,1,0,0,129,57,30,4,16,8,,6.28,,0,2,0,200,,34
FujiwMa96,1985,1,HAN,NL,0,1,9,3,0,0,0,43,22,11,1,8,13,,6.91,,0,0,0,72,,11
FujiwYa95,1985,1,KIN,AL,0,0,3,0,0,0,0,14,1,1,0,1,5,,1.93,,0,0,0,15,,1
FukazYo95,1985,1,LOT,AL,2,6,15,8,3,0,0,213,90,48,22,35,31,,6.08,,1,9,0,340,,56
FukumOs95,1985,1,HAN,NL,8,5,58,4,0,0,1,313,114,47,14,37,60,,4.05,,0,2,0,453,,50
FukuyMa95,1985,1,HAN,NL,0,0,8,0,0,0,0,43,15,11,3,12,11,,6.91,,1,1,0,67,,11
FurimKa95,1985,1,HNK,AL,0,0,9,0,0,0,0,52,21,20,4,14,10,0.339,10.38,0,0,0,0,84,3,20
FurukTo95,1985,1,CHU,NL,0,0,16,0,0,0,0,43,14,7,2,9,12,,4.4,,0,1,0,66,,10
galeri01,1985,1,HAN,NL,13,8,33,33,4,2,0,572,187,91,23,84,126,,4.3,,4,0,0,829,,99
GotoNo95,1985,1,CHU,NL,0,0,19,0,0,0,0,65,23,10,2,9,4,,4.15,,2,1,0,92,,14
HashiKe95,1985,1,YOM,NL,1,2,17,3,0,0,0,96,29,18,3,22,27,,5.06,,0,0,0,146,,18
HatayHi95,1985,1,NAN,AL,1,3,13,2,0,0,0,116,45,21,11,14,22,0.285,4.89,0,2,0,0,175,6,24
HigasOs95,1985,1,SEI,AL,17,3,31,20,11,3,1,523,164,64,19,46,74,,3.3,,1,7,0,721,,71
HiranSa95,1985,1,CHU,NL,0,1,20,0,0,0,0,62,34,29,4,18,13,0.391,12.63,0,0,2,0,115,5,32
HirosSh95,1985,1,TAI,NL,1,2,26,7,0,0,0,173,62,39,12,44,19,,6.09,,1,0,0,279,,44
HoriiTs95,1985,1,TAI,NL,5,8,40,14,0,0,0,369,136,68,10,49,48,,4.98,,3,4,0,545,,73
HoshiNo95,1985,1,HNK,AL,2,2,17,3,0,0,1,139,43,23,5,39,43,0.25,4.47,2,1,1,0,220,5,26
IchimNo95,1985,1,CHU,NL,0,0,17,0,0,0,0,42,24,8,2,4,10,,5.14,,0,2,0,71,,9
IkedaCh95,1985,1,HAN,NL,9,6,32,20,3,1,0,455,153,75,18,69,82,0.266,4.45,4,2,5,0,668,1,79
IkegaKo95,1985,1,HIR,NL,0,0,8,1,0,0,0,39,14,8,2,6,4,,5.54,,0,0,0,57,,8
IkeucYu95,1985,1,TAI,NL,0,1,23,0,0,0,0,87,33,16,5,21,22,,4.97,,1,2,0,139,,16
ImaiYu95,1985,1,HNK,AL,12,13,35,26,14,1,3,660,247,122,34,65,96,,4.99,,1,12,0,959,,129
InoueYu95,1985,1,NAN,AL,2,13,33,7,2,0,0,315,108,63,13,42,51,0.269,5.4,4,2,2,0,460,15,78
IshiiTa98,1985,1,SEI,AL,2,0,16,0,0,0,1,89,26,13,5,12,19,,3.94,,0,1,0,123,,13
IshikMa98,1985,1,LOT,AL,2,7,17,7,1,0,0,174,97,48,11,18,24,,7.45,,4,4,0,282,,54
IshimYo80,1985,1,KIN,AL,19,3,70,0,0,0,7,394,115,52,14,64,80,,3.56,,2,2,0,560,,55
ItoFu80,1985,1,HAN,NL,5,5,25,16,3,0,0,347,123,58,16,39,59,,4.51,,3,1,1,488,,63
KadotFu95,1985,1,TAI,NL,8,6,39,11,0,0,0,277,112,55,8,34,43,,5.36,,1,3,0,411,,58
KajimKe95,1985,1,YAK,NL,11,17,38,29,8,0,0,569,203,89,29,81,88,,4.22,,3,9,0,838,,98
KakehMi95,1985,1,TAI,NL,9,5,28,27,4,0,0,458,178,86,23,44,77,,5.07,,3,1,0,663,,88
KakuGe95,1985,1,CHU,NL,11,11,34,14,15,1,3,691,224,89,38,57,157,0.257,3.48,3,1,5,1,954,5,102
KakuTa95,1985,1,SEI,AL,9,5,15,6,9,3,0,353,89,33,14,48,75,0.211,2.52,1,1,4,0,484,0,44
KanamSe95,1985,1,HNK,AL,0,1,21,0,0,0,0,110,44,17,6,8,24,,4.17,,0,2,0,157,,19
KanazTs95,1985,1,TAI,NL,3,7,23,14,0,0,0,212,78,59,19,41,43,0.277,7.51,1,4,2,0,333,5,60
KaneiAk95,1985,1,HIR,NL,6,9,23,12,6,0,0,332,114,62,12,45,51,0.269,5.04,0,1,4,0,483,2,66
KanesMo95,1985,1,YOM,NL,0,0,17,0,0,0,0,61,17,11,4,14,16,,4.87,,0,0,0,91,,12
KashiTa95,1985,1,CHU,NL,2,3,41,4,0,0,2,230,96,42,8,41,39,0.322,4.93,5,2,1,0,358,13,47
KatoHa95,1985,1,YOM,NL,4,8,30,21,0,0,3,370,104,47,17,52,89,,3.43,,1,4,0,515,,53
KatorYo95,1985,1,YOM,NL,4,5,60,0,0,0,4,253,74,33,11,30,75,0.238,3.52,4,0,3,1,350,23,33
KatoSh95,1985,1,NAN,AL,9,11,34,12,9,1,1,568,180,86,32,87,79,0.26,4.09,5,2,9,1,818,10,100
KawabJu95,1985,1,HIR,NL,11,7,45,11,6,2,7,487,127,49,15,72,109,,2.72,,2,5,0,676,,50
KawagKa96,1985,1,HIR,NL,9,9,31,16,5,2,0,431,150,70,15,62,116,0.277,4.39,3,4,2,0,627,1,73
KawahSh95,1985,1,HAN,NL,0,0,9,1,0,0,0,30,12,6,3,6,8,,5.4,,0,1,0,47,,6
KawahSh96,1985,1,NHF,AL,6,0,34,0,0,0,7,194,47,23,6,25,47,,3.2,,2,1,0,269,,27
KawamKa96,1985,1,SEI,AL,3,1,13,0,0,0,0,92,33,18,6,15,16,,5.28,,0,1,1,142,,20
KawamTo96,1985,1,SEI,AL,0,0,2,0,0,0,0,12,2,1,1,3,0,,2.25,,0,0,0,17,,1
KidaIs95,1985,1,NHF,AL,2,4,28,0,0,0,0,187,69,42,10,34,57,,6.06,,0,2,0,284,,43
KimurHi96,1985,1,TAI,NL,0,1,11,1,0,0,0,67,26,20,7,13,9,,8.06,,2,0,0,104,,22
KinosTo96,1985,1,HNK,AL,0,0,2,0,0,0,0,3,3,2,0,2,0,,18,,0,0,0,8,,2
KitabMa95,1985,1,HIR,NL,16,6,35,24,8,3,2,597,209,79,19,55,85,,3.57,,3,8,0,833,,88
KiyokEi95,1985,1,HIR,NL,0,0,12,0,0,0,0,46,14,5,2,3,17,0.237,2.93,1,0,0,0,63,2,7
KobaySe95,1985,1,HIR,NL,4,5,45,0,0,0,7,285,93,41,14,34,72,,3.88,,1,5,0,408,,46
KodaIs95,1985,1,YOM,NL,0,0,1,0,0,0,0,3,1,0,0,0,1,0.25,0,0,0,0,0,4,1,0
KojimMa95,1985,1,HNK,AL,1,2,15,0,0,0,0,82,35,21,3,18,14,,6.91,,0,3,0,135,,22
KomatTa95,1985,1,CHU,NL,17,8,33,25,14,1,1,631,185,62,24,48,172,,2.65,,1,4,0,864,,70
KondoMi98,1985,1,CHU,NL,0,0,1,0,0,0,0,0,3,4,1,1,0,1,NULL,,0,0,0,4,,4
KonoHi95,1985,1,NHF,AL,8,13,36,21,7,1,0,512,166,79,27,87,104,0.263,4.17,1,4,6,0,753,4,92
KoyamMa96,1985,1,KIN,AL,6,7,25,18,1,0,0,401,155,83,20,52,44,,5.59,,0,6,0,609,,89
KuboFu95,1985,1,TAI,NL,2,2,36,2,0,0,1,148,38,21,11,19,24,,3.83,,2,0,0,204,,22
KuboYa95,1985,1,KIN,AL,2,1,30,1,0,0,0,163,63,46,9,30,26,0.292,7.62,2,2,7,0,256,9,49
KudoKa95,1985,1,HAN,NL,6,3,30,6,0,0,0,225,80,32,15,14,40,,3.84,,1,1,0,313,,38
KudoKi95,1985,1,SEI,AL,8,3,34,6,8,0,0,411,84,42,13,73,104,0.179,2.76,2,1,2,1,554,2,44
KurohYu95,1985,1,SEI,AL,1,0,7,0,0,0,0,35,10,5,1,7,5,,3.86,,1,0,0,49,,5
KuwatSh95,1985,1,CHU,NL,2,2,18,7,0,0,0,135,44,19,2,26,18,0.267,3.8,0,2,0,0,200,2,23
MaedoTe95,1985,1,TAI,NL,0,2,29,1,0,0,0,117,39,18,5,15,23,,4.15,,1,0,0,162,,20
MakihHi95,1985,1,YOM,NL,4,7,14,8,5,1,0,277,94,41,10,46,57,0.268,4,2,3,1,1,406,1,43
MashiSh95,1985,1,NHF,AL,3,1,21,3,1,0,0,122,44,16,5,8,19,,3.54,,0,1,0,173,,19
MasumHi95,1985,1,TAI,NL,0,0,4,0,0,0,0,8,8,6,0,1,1,,20.25,,0,0,0,16,,6
MasuySe95,1985,1,HAN,NL,0,0,8,0,0,0,0,25,12,6,3,2,2,,6.48,,0,0,0,39,,6
MatsuHi90,1985,1,NHF,AL,0,0,8,1,0,0,0,35,15,15,4,13,8,0.319,11.57,0,2,1,0,61,5,16
MatsuHi97,1985,1,SEI,AL,14,6,27,21,8,1,0,513,154,79,32,60,88,,4.16,,1,7,0,715,,87
MatsuHi99,1985,1,YAK,NL,0,2,8,4,0,0,0,43,23,15,3,10,7,,9.42,,2,0,0,76,,15
MatsuMa99,1985,1,SEI,AL,0,2,7,0,0,0,0,65,25,17,2,16,6,,7.06,,0,1,0,104,,17
MigitKa95,1985,1,LOT,AL,2,4,22,0,0,0,3,174,68,47,10,38,37,,7.29,,1,1,0,268,,49
MikosSu95,1985,1,HAN,NL,0,0,4,0,0,0,0,17,10,3,1,1,4,0.4,4.76,0,0,0,0,26,1,3
MisawJu95,1985,1,NHF,AL,1,0,15,0,0,0,0,105,26,8,2,12,12,,2.06,,0,1,0,139,,9
MiyagHi95,1985,1,YAK,NL,0,0,4,0,0,0,0,18,4,3,1,8,6,,4.5,,0,0,0,29,,3
MiyakYu95,1985,1,CHU,NL,0,2,7,3,0,0,0,76,22,9,3,12,15,,3.2,,0,0,0,108,,13
MiyamKa95,1985,1,YOM,NL,2,2,38,0,0,0,0,138,33,14,4,24,50,0.209,2.74,1,2,0,0,190,9,16
MiyamKe95,1985,1,YAK,NL,2,10,32,10,1,0,0,263,112,61,18,26,46,0.323,6.26,0,1,1,1,391,11,64
MiyamSh96,1985,1,HNK,AL,2,3,16,0,0,0,1,138,51,31,5,21,20,,6.07,,1,0,0,211,,36
MiyasMa96,1985,1,CHU,NL,0,0,3,0,0,0,0,6,5,2,0,1,4,,9,,0,0,0,12,,2
MizutNo95,1985,1,LOT,AL,9,5,33,14,3,0,0,360,122,57,14,35,70,,4.28,,0,4,0,512,,69
MorigMa95,1985,1,NAN,AL,0,0,3,0,0,0,0,16,9,7,1,2,3,,11.81,,0,1,0,27,,7
MoriKo95,1985,1,HNK,AL,0,0,12,0,0,0,0,37,15,9,2,6,3,,6.57,,0,1,0,59,,9
MoriSh95,1985,1,SEI,AL,6,6,39,0,0,0,8,220,85,35,14,26,22,,4.3,,3,2,1,324,,41
MuratCh95,1985,1,LOT,AL,17,5,24,22,10,0,0,521,181,83,20,65,93,,4.3,,11,7,1,752,,89
MuratTa95,1985,1,KIN,AL,9,14,36,22,9,0,2,554,202,91,21,81,57,,4.44,,1,8,0,828,,101
NabeyMi95,1985,1,HIR,NL,0,0,2,0,0,0,0,7,3,4,1,7,2,,15.43,,0,0,0,16,,4
NagaiTa95,1985,1,SEI,AL,0,1,33,0,0,0,0,90,32,23,9,16,20,,6.9,,0,0,0,134,,24
NakadYo95,1985,1,HAN,NL,12,5,31,20,4,1,0,370,143,58,26,38,47,,4.23,,2,5,0,539,,67
NakagAk95,1985,1,YAK,NL,0,1,4,0,0,0,0,27,9,5,0,4,2,,5,,1,0,0,39,,7
NakaiKi95,1985,1,LOT,AL,0,0,1,0,0,0,0,3,3,2,0,1,0,,18,,0,0,0,6,,2
NakajHi96,1985,1,YOM,NL,0,0,6,0,0,0,0,24,6,3,1,2,7,,3.38,,0,0,0,33,,4
NakajYo95,1985,1,NAN,AL,0,1,23,0,0,0,0,52,21,11,4,9,7,,5.71,,1,1,0,81,,17
NakamSh96,1985,1,YAK,NL,2,4,44,1,0,0,1,189,58,28,5,29,29,,4,,1,2,0,267,,32
NakanKi95,1985,1,HAN,NL,11,3,63,0,0,0,19,323,92,32,10,31,83,0.23,2.67,7,3,4,0,445,42,38
NakatKo95,1985,1,HAN,NL,3,4,25,16,1,1,0,259,84,42,18,51,71,0.265,4.38,1,7,1,0,384,4,52
NaritYu95,1985,1,SEI,AL,0,0,1,0,0,0,0,15,7,0,0,2,2,,0,,1,0,0,23,,3
NiimiSa95,1985,1,HIR,NL,0,1,18,0,0,0,0,76,28,12,4,6,12,,4.26,,0,1,0,104,,13
NishiKa96,1985,1,SEI,AL,0,1,7,0,0,0,0,29,11,9,2,7,1,,8.38,,1,0,0,44,,9
NishiMo95,1985,1,NHF,AL,0,0,9,1,0,0,0,45,18,8,3,11,7,0.316,4.8,1,2,2,0,73,3,8
NishiTa98,1985,1,YOM,NL,10,8,33,26,8,2,2,509,184,76,26,44,66,,4.03,,0,1,1,717,,91
NishiTe95,1985,1,LOT,AL,0,0,25,0,0,0,3,119,48,26,7,17,22,,5.9,,0,0,0,183,,31
NishiTo97,1985,1,LOT,AL,12,13,30,25,9,1,0,594,218,95,35,44,103,,4.32,,0,12,1,862,,116
NomurOs95,1985,1,HAN,NL,1,0,19,1,0,0,0,79,27,15,5,3,13,,5.13,,0,0,0,107,,16
NonakTe95,1985,1,HNK,AL,0,0,7,2,0,0,0,51,17,9,3,10,10,0.266,4.76,0,0,2,0,77,3,10
ObanaTa95,1985,1,YAK,NL,11,8,40,24,10,1,7,615,229,100,23,57,107,,4.39,,4,12,1,893,,108
OdaSh95,1985,1,SEI,AL,0,0,4,0,0,0,0,15,6,4,0,3,4,,7.2,,1,0,1,25,,4
OgawaHi94,1985,1,LOT,AL,2,3,21,0,0,0,4,185,52,32,6,39,47,,4.67,,3,5,0,273,,38
OhataTo95,1985,1,TAI,NL,0,2,11,3,0,0,0,50,30,12,3,9,15,,6.48,,1,0,0,86,,15
OkabeNo95,1985,1,NHF,AL,0,3,25,0,0,0,0,172,53,31,10,27,37,,4.87,,3,0,1,247,,33
OkamoKo95,1985,1,YOM,NL,0,0,6,0,0,0,1,20,6,3,2,2,7,,4.05,,1,0,0,28,,3
OkawaAk95,1985,1,YAK,NL,2,6,43,13,0,0,1,252,106,58,16,30,46,,6.21,,1,2,0,378,,63
OkuboMa95,1985,1,NAN,AL,0,0,12,0,0,0,1,55,27,17,5,12,5,,8.35,,1,2,0,94,,18
OnoKa97,1985,1,KIN,AL,3,6,39,13,3,0,1,340,119,66,28,57,96,0.267,5.24,3,0,0,0,512,2,74
OnoKa98,1985,1,SEI,AL,3,2,11,9,1,1,0,172,56,26,9,12,37,0.258,4.08,0,0,1,0,235,0,28
